"","genes","estimate","p","p.adj"
"13475","WIPF1",-0.248908075102447,0.705,0.938296351313713
"13476","WIPF2",0.0545128125055204,0.933,0.985716177444273
"13477","WIPF3",-0.310195430253045,0.446,0.863469028942386
"13478","WIPI1",-0.79410682720472,0.354,0.836498844503136
"13479","WIPI2",-1.65339149807625,0.21,0.799799752781211
"13480","WISP1",-0.0342357621066897,0.964,0.994140191628845
"13481","WIZ",-0.716403285642446,0.275,0.825115279815552
"13482","WLS",0.110231771283947,0.811,0.957473879062114
"13483","WNK1",-1.31478737634507,0.266,0.823483996539792
"13484","WNK2",0.594024531422698,0.424,0.855590639977446
"13485","WNK3",-0.148281409196734,0.83,0.962954508791741
"13486","WNK4",0.206295342714554,0.678,0.930488703810071
"13487","WNT10A",-2.10187117843611,0.144,0.79117538688283
"13488","WNT10B",-1.34586440804907,0.185,0.797609970674487
"13489","WNT11",0.446063564564323,0.37,0.839007405073263
"13490","WNT2B",0.047296112290784,0.936,0.985716177444273
"13491","WNT3",-1.13657558792203,0.162,0.794227212681638
"13492","WNT4",-0.522955132620715,0.424,0.855590639977446
"13493","WNT5A",-0.401122573217817,0.501,0.878960571289062
"13494","WNT5B",-0.886747734185624,0.0921,0.78961743772242
"13495","WNT6",-0.697726007718593,0.331,0.830254950061328
"13496","WNT7B",-0.0824707641742082,0.673,0.928846413420748
"13497","WNT9A",0.108040767312545,0.823,0.960949836867863
"13498","WRAP53",0.244755206927869,0.746,0.945640696851786
"13499","WRAP73",0.64705199785951,0.562,0.899992169146437
"13500","WRB",0.0117751781671137,0.986,0.996863479059256
"13501","WRB-SH3BGR",-0.0593438409483933,0.904,0.979441672336887
"13502","WRN",-0.904120986445698,0.303,0.827964478333643
"13503","WRNIP1",1.0253457478715,0.322,0.829708429051069
"13504","WSB1",-1.84648942964975,0.000161,0.730920038535645
"13505","WSB2",-1.0860040091282,0.0998,0.78961743772242
"13506","WT1",-0.483635537243776,0.482,0.875612944162437
"13507","WTAP",-0.441569723204838,0.443,0.862325945063911
"13508","WTIP",-0.603678900294462,0.439,0.860271731690623
"13509","WWC1",-0.261549692300116,0.779,0.95156455328953
