,gene_symbol,pearson,P_value
263,ADAMTS12,-0.001532147,0.993248277
264,ADAMTS13,0.107991285,0.549709016
265,ADAMTS14,0.215360854,0.228729716
266,ADAMTS15,-0.061099454,0.735535116
267,ADAMTS16,0.094552992,0.600697929
268,ADAMTS17,0.129286303,0.473328248
269,ADAMTS18,0.217542317,0.223935723
270,ADAMTS19,0.122590288,0.496729763
271,ADAMTS2,0.213937662,0.2318945
272,ADAMTS20,0.067617898,0.708488963
273,ADAMTS3,-0.195979338,0.274372569
274,ADAMTS4,0.227758947,0.202394497
275,ADAMTS5,0.03989428,0.825539286
276,ADAMTS6,0.046201779,0.79848252
277,ADAMTS7,0.059736948,0.741229243
278,ADAMTS8,0.086638354,0.631645447
279,ADAMTS9,0.054317315,0.764009689
280,ADAMTSL1,-0.319217876,0.070176993
281,ADAMTSL2,-0.028406047,0.875308054
282,ADAMTSL3,-0.214367253,0.230936111
283,ADAMTSL4,-0.210636118,0.239349597
284,ADAMTSL5,0.076065448,0.673956165
285,ADAP1,-0.058791204,0.745189617
286,ADAP2,-0.08329765,0.644898746
287,ADAR,-0.169272704,0.346334218
288,ADARB1,0.19357806,0.280412075
289,ADARB2,-0.187612378,0.295785234
290,ADAT1,0.220904542,0.216681445
291,ADAT2,0.253946327,0.153850536
292,ADAT3,0.389828226,0.024922523
293,ADCK1,0.221093561,0.21627845
294,ADCK2,0.003986498,0.982433818
295,ADCK5,-0.005136494,0.977367604
296,ADCY1,0.371864405,0.033096089
297,ADCY10,0.011440905,0.949614587
298,ADCY2,0.136293493,0.449471124
299,ADCY3,0.245132206,0.169142451
300,ADCY4,0.068832869,0.703485116
301,ADCY5,0.087053216,0.630007322
302,ADCY6,-0.031383737,0.86235525
303,ADCY7,0.065720167,0.71632867
304,ADCY8,-0.089958339,0.618584913
305,ADCY9,0.253658725,0.154333165
306,ADCYAP1,0.080999946,0.654077217
307,ADCYAP1R1,0.115643281,0.521613205
308,ADD1,0.324851973,0.065101111
309,ADD2,0.173242783,0.334972081
310,ADD3,0.577981261,0.000427363
311,ADGB,-0.104775763,0.561723122
312,ADGRA1,0.103164242,0.567789249
313,ADGRA2,0.273982396,0.122851289
314,ADGRA3,0.222493521,0.213309667
315,ADGRB1,0.164873487,0.359193418
316,ADGRB2,0.167485328,0.351524825
317,ADGRB3,0.053459022,0.767635799
318,ADGRD1,0.194507224,0.278065015
319,ADGRE1,0.134302887,0.456181702
320,ADGRE2,0.223879279,0.210398653
321,ADGRE3,0.037832891,0.834426356
322,ADGRE5,-0.20472224,0.253101383
323,ADGRF1,-0.007529727,0.966827409
